subject,group,condition,apparatus,solve,sum_part_act
c752862,36mo,arbitrary,apart,1,NA
c763329,36mo,arbitrary,apart,1,NA
c752859,36mo,arbitrary,boxing,1,NA
c743079,36mo,arbitrary,boxing,1,NA
c741009,36mo,arbitrary,boxing,1,NA
c755592,36mo,arbitrary,apart,0,NA
c741165,36mo,arbitrary,boxing,0,NA
c742422,36mo,arbitrary,apart,0,NA
c753321,36mo,arbitrary,boxing,0,NA
c740556,36mo,arbitrary,boxing,0,NA
c765570,36mo,arbitrary,apart,0,NA
c741555,36mo,arbitrary,boxing,0,NA
c755607,36mo,arbitrary,boxing,0,NA
c752871,36mo,arbitrary,apart,0,NA
c755691,36mo,arbitrary,apart,0,NA
c749997,36mo,arbitrary,apart,0,NA
c763146,36mo,iconic,apart,1,NA
c740364,36mo,iconic,boxing,1,NA
c741459,36mo,iconic,apart,1,NA
c741000,36mo,iconic,boxing,1,NA
c746988,36mo,iconic,boxing,1,NA
c765567,36mo,iconic,boxing,1,NA
c742605,36mo,iconic,boxing,1,NA
c742884,36mo,iconic,apart,1,NA
c741363,36mo,iconic,apart,1,NA
c740280,36mo,iconic,apart,1,NA
c763143,36mo,iconic,apart,1,NA
c755574,36mo,iconic,apart,1,NA
c765783,36mo,iconic,boxing,1,NA
c749856,36mo,iconic,boxing,0,NA
c755604,36mo,iconic,apart,0,NA
c746301,36mo,iconic,apart,0,NA
c740433,36mo,iconic,boxing,0,NA
c752619,36mo,arbitrary,boxing,0,NA
c762321,36mo,iconic,boxing,1,NA
c762336,36mo,arbitrary,apart,1,NA
c748686,24mo,iconic,apart,0,1
c747525,24mo,iconic,boxing,0,3
c749820,24mo,iconic,apart,0,1
c754122,24mo,arbitrary,boxing,0,1
c750027,24mo,iconic,boxing,0,3
c754128,24mo,arbitrary,apart,1,4
c749982,24mo,arbitrary,boxing,1,4
c749985,24mo,iconic,apart,0,1
c758883,24mo,arbitrary,apart,0,2
c748656,24mo,iconic,boxing,0,2
c748044,24mo,arbitrary,boxing,0,1
c749421,24mo,iconic,apart,1,4
c753426,24mo,iconic,apart,1,4
c749226,24mo,arbitrary,apart,0,1
c749616,24mo,arbitrary,boxing,1,4
c749514,24mo,iconic,boxing,0,1
c750405,24mo,iconic,boxing,1,4
c747771,24mo,arbitrary,boxing,0,3
c755811,24mo,iconic,apart,0,1
c759114,24mo,arbitrary,boxing,0,2
c750105,24mo,iconic,boxing,0,3
c754983,24mo,arbitrary,apart,0,3
c751782,24mo,arbitrary,boxing,1,4
c761997,24mo,arbitrary,apart,0,1
c749262,24mo,iconic,apart,1,4
c752595,24mo,iconic,boxing,1,4
c754560,24mo,iconic,apart,1,4
c752577,24mo,arbitrary,apart,0,3
c754155,24mo,arbitrary,apart,0,3
c749454,24mo,arbitrary,apart,1,4
c749964,24mo,iconic,boxing,0,1
c753414,24mo,iconic,apart,0,1
c753381,24mo,iconic,boxing,1,4
c752694,24mo,arbitrary,boxing,1,4
c752535,24mo,arbitrary,boxing,0,1
c754059,24mo,arbitrary,apart,0,1
abeeku,gorilla,iconic,boxing,0,3
alex,chimp,arbitrary,apart,0,3
bambari,chimp,iconic,boxing,0,0
bangolo,chimp,iconic,apart,0,3
bimbo,orang,iconic,apart,0,3
daza,chimp,iconic,apart,1,4
dokana,orang,arbitrary,boxing,1,4
dorien,chimp,arbitrary,apart,0,3
fimi,bonobo,arbitrary,apart,0,2
fraukje,chimp,iconic,boxing,0,3
